finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,gender,state
1700,Finance & Investments,David Booth,77,United States,Austin,Mutual funds,Finance & Investments,United States,Dimensional Fund Advisors,True,M,Texas
1700,Technology,Jim Breyer,61,United States,Austin,Venture capital,Technology,United States,Breyer Capital,True,M,Texas
1700,Manufacturing,Chen Kaichen,65,China,Guangzhou,Household chemicals,Manufacturing,China,,True,M,
1700,Manufacturing,Kommer Damen,79,Netherlands,Gorinchem,Shipbuilding,Manufacturing,Netherlands,,False,M,
1700,Food & Beverage,Carl DeSantis,83,United States,Delray Beach,Energy drink,Food & Beverage,United States,,True,M,Florida
1700,Finance & Investments,Marek Dospiva,53,Czech Republic,Prague,Investments,Finance & Investments,Czech Republic,,True,M,
1700,Healthcare,Keith Dunleavy & family,53,United States,Annapolis,Health IT,Healthcare,United States,,True,M,Maryland
1700,Finance & Investments,John Elkann,47,Italy,Turin,"FIAT, investments",Finance & Investments,Italy,,False,M,
1700,Automotive,Francois Feuillet & family,74,France,Paris,"Motorhomes, RVs",Automotive,France,,False,M,
1700,Media & Entertainment,Yasuhiro Fukushima,75,Japan,Tokyo,Video games,Media & Entertainment,Japan,,True,M,
1700,Finance & Investments,Mario Gabelli,81,United States,Greenwich,Money management,Finance & Investments,United States,,True,M,Connecticut
1700,Finance & Investments,Rolf Gerling,68,Switzerland,Zurich,Insurance,Finance & Investments,Germany,,False,M,
1700,Real Estate,John Goff,67,United States,Fort Worth,Real estate,Real Estate,United States,,True,M,Texas
1700,Fashion & Retail,Alexandre Grendene Bartelle,73,Brazil,Porto Alegre,Shoes,Fashion & Retail,Brazil,,True,M,
1700,Fashion & Retail,Gerry Harvey,83,Australia,Sydney,Retail,Fashion & Retail,Australia,,True,M,
1700,Technology,He Zhaoxi,49,China,Shenzhen,Software,Technology,China,,True,M,
1700,Real Estate,William Heinecke,73,Thailand,Bangkok,Hotels,Real Estate,Thailand,,True,M,
1700,Finance & Investments,Jay Hennick,66,Canada,Toronto,Real estate finance,Finance & Investments,Canada,,True,M,
1700,Manufacturing,Ilkka Herlin,64,Finland,Helsinki,"Elevators, escalators",Manufacturing,Finland,,False,M,
1700,Real Estate,Asok Kumar Hiranandani,68,Singapore,Singapore,Real estate,Real Estate,Singapore,,False,M,
1700,Finance & Investments,Hal Jackman,90,Canada,Toronto,"Insurance, investments",Finance & Investments,Canada,,True,M,
1700,Manufacturing,Pavan Jain,71,India,Delhi,Chemicals,Manufacturing,India,,False,M,
1700,Real Estate,Keeree Kanjanapas,72,Thailand,Bangkok,Transportation,Real Estate,Thailand,,True,M,
1700,Healthcare,Osman Kibar,52,United States,La Jolla,Biotech,Healthcare,United States,Samumed,True,M,California
1700,Fashion & Retail,Kim Chang-soo,62,South Korea,Seoul,Apparel,Fashion & Retail,South Korea,,True,M,
1700,Media & Entertainment,Kim Jung-min,21,,,Online gaming,Media & Entertainment,South Korea,,False,F,
1700,Media & Entertainment,Kim Jung-youn,19,,,Online gaming,Media & Entertainment,South Korea,,False,F,
1700,Fashion & Retail,Mustafa Kucuk,59,Turkey,Istanbul,Fashion retail,Fashion & Retail,Turkey,,True,M,
1700,Real Estate,Christopher Kwok,37,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,,False,M,
1700,Real Estate,Edward Kwok,42,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,,False,M,
1700,Logistics,Lai Jianfa,53,China,Shanghai,Express delivery,Logistics,China,,True,M,
1700,Diversified,Lau Cho Kun,87,Malaysia,"Tawau, Sabah","Palm oil, property",Diversified,Malaysia,,False,M,
1700,Technology,Alexis Lê-Quôc,48,United States,New York,Cloud computing,Technology,United States,Datadog,True,M,New York
